"gene_id","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047","SRR1177963","SRR1177964","SRR1177965"
"NM_199092","256","261","223","326","549","491","356","338","276"
"NM_031571","577","507","433","398","495","402","458","428","435"
"NM_001108581","164","130","125","126","153","215","120","162","148"
"NM_207607","46","30","38","16","30","46","60","46","36"
"NM_001004280","1152","1310","1235","1692","2136","2153","1662","1503","1563"
"NM_001047951","0","2","4","0","0","0","0","0","0"
"NM_001013915","0","0","0","0","0","0","0","0","0"
"NM_001037649","118","116","89","107","127","222","112","41","65"
"NM_001034148","544","550","579","480","647","894","321","283","343"
"NM_053979","605","874","802","841","784","898","435","559","414"
"NM_001012085","271","322","242","346","409","437","308","259","226"
"NM_001106480","1313","1312","1261","1498","1921","2007","1235","1407","1308"
"NM_001044276","211","320","180","52","10","30","126","242","106"
"NM_019328","46","46","24","58","38","58","63","76","88"
"NM_031796","0","0","2","2","4","0","2","2","2"
"NM_001008311","0","0","0","0","0","0","0","0","0"
"NM_001012086","66","50","55","47","27","79","74","48","44"
"NM_139090","97","93","87","105","54","77","51","68","70"
"NR_003722","2","0","0","0","4","0","0","0","0"
"NM_001108582","0","0","0","2","0","0","0","0","0"
"NM_001014179","159","146","104","211","307","263","239","241","262"
"NM_001177816","0","4","4","1","2","0","3","0","0"
"NM_001013916","7105","7577","7079","4779","3484","2506","4265","4196","4869"
"NM_001164073","0","0","1","0","0","0","0","0","0"
"NM_145788","0","0","1","5","3","0","2","4","0"
"NM_001025689","819","742","773","1288","1610","1800","918","922","891"
"NM_138850","2","0","2","0","2","2","2","0","2"
"NM_001106483","51","64","47","90","169","225","122","94","100"
"NM_001106484","158","299","206","74","132","92","115","168","159"
"NM_013119","0","0","0","0","0","0","0","0","0"
"NM_001015032","0","6","0","8","4","6","0","2","5"
"NM_001191737","302","332","296","337","406","421","368","197","199"
"NM_030875","0","0","0","0","4","2","0","0","0"
"NM_031686","26","18","26","6","12","16","10","14","10"
"NM_201989","13","7","8","7","20","5","4","10","4"
"NM_001108954","1065","829","809","994","814","707","556","1158","785"
"NR_133672","0","0","0","0","0","0","0","0","0"
"NM_001024260","440","516","444","696","840","832","214","203","254"
"NM_001009654","18","28","23","49","50","150","48","35","16"
"NM_130819","0","12","5","40","156","260","3","8","8"
"NM_001108583","51","103","84","153","133","149","105","87","116"
"NM_001191738","248","287","259","303","589","573","551","509","468"
"NM_031793","1023","1022","945","1060","1387","1602","946","1015","921"
"NM_057191","6","10","6","15","17","15","12","8","12"
"NM_001134504","32","28","29","22","35","40","32","49","26"
"NM_001114181","191","158","198","232","257","310","207","224","221"
"NM_031119","823","718","710","805","1194","1295","852","973","794"
"NM_001007642","459","384","404","465","685","666","429","393","384"
"NM_001106552","34","21","16","11","12","2","32","28","6"
"NM_001024311","2","5","4","0","3","2","2","6","4"
"NM_001007720","2542","2649","2297","2825","3711","3430","1613","1419","1279"
"NM_001177688","126","133","161","174","174","184","141","170","152"
"NM_001011954","131","138","148","85","91","127","90","62","68"
"NM_053880","0","0","0","0","0","0","0","0","0"
"NM_001270625","0","0","0","0","0","0","0","0","0"
"NM_001270624","0","0","0","0","0","0","0","0","0"
"NM_001107812","155","117","127","278","199","235","257","283","297"
"NM_001191746","0","0","0","0","0","0","0","0","0"
"NM_001100531","0","0","0","2","2","0","2","0","0"
"NM_053826","1314","1861","1383","1125","1100","912","1220","1283","1213"
"NM_001025693","27","28","24","155","217","281","176","214","180"
"NM_001319645","2","1","1","0","4","3","0","0","1"
"NM_001191902","0","0","0","0","0","0","0","0","0"
"NM_001013162","341","433","370","319","408","381","597","602","509"
"NM_001007799","432","478","410","393","529","570","429","452","424"
"NM_001107811","721","968","654","863","759","688","631","653","633"
"NM_032083","23","50","39","6","28","12","10","18","37"
"NM_053756","5603","6813","5959","5775","6686","6502","8708","9641","7748"
"NM_001191903","0","0","0","0","0","0","0","0","0"
"NM_001271038","0","0","0","0","0","0","0","0","0"
"NM_001173469","0","0","0","0","0","0","0","0","0"
"NM_001107094","0","0","0","0","0","0","0","0","0"
"NM_001105886","0","0","0","0","0","0","0","0","0"
"NM_001105885","0","0","0","0","0","0","0","0","0"
"NM_001105884","0","0","0","0","0","0","0","0","0"
"NR_031815","0","0","0","0","0","0","0","0","0"
"NM_001008286","752","676","658","1016","1265","1263","816","814","830"
"NM_198132","0","0","0","0","0","0","0","0","0"
"NM_001111295","0","0","0","0","0","0","0","0","0"
"NM_001111294","1608","1591","1606","2043","2112","2585","1665","1815","1538"
"NM_031789","6286","4144","3518","4690","3361","4835","2472","1806","1734"
"NM_053350","8","8","6","9","28","18","16","10","14"
"NM_001127607","107","117","120","52","117","128","112","102","100"
"NM_001029918","0","0","0","0","0","0","0","2","0"
"NM_001271494","35","31","33","32","37","42","41","48","56"
"NM_012840","0","0","0","0","0","0","0","0","0"
"NM_153306","407","476","469","458","428","532","380","446","386"
"NM_001106485","44","59","39","39","75","54","31","20","25"
"NM_001024780","330","371","277","283","161","194","295","416","322"
"NM_001126290","0","0","2","0","2","0","0","0","0"
"NM_001107737","103","78","95","59","106","114","73","41","59"
"NM_019218","0","0","0","0","0","0","0","0","0"
"NM_001107738","1407","1338","1304","1486","2004","1785","1264","1286","1089"
"NM_031618","3544","3742","3586","4607","5281","5014","3863","3924","3641"
"NM_001100527","30","79","58","37","58","58","28","28","64"
"NM_001107739","108","130","140","121","156","107","172","128","103"
"NM_001004229","308","279","258","387","552","535","383","373","319"
"NM_001010963","717","795","709","1027","1294","1565","939","903","937"
"NM_017200","56","66","45","74","60","46","114","77","141"
"NM_001177321","252","266","223","311","235","271","198","210","299"
"NM_001321292","0","0","0","0","0","0","0","0","0"
"NM_001107740","4358","5058","4738","4718","5682","6937","3619","3675","3269"
"NM_001114939","0","1","1","1","0","0","2","3","2"
"NM_001007643","901","944","983","1445","1406","1722","1157","1276","1045"
"NM_199093","21551","22276","20937","11002","12024","9290","12107","10818","13512"
"NR_031876","0","0","0","0","0","0","0","0","0"
"NM_001039338","1312","1309","1234","1137","1386","1587","1262","1187","1118"
"NR_037388","0","0","0","0","0","0","0","0","0"
"NM_001024369","0","2","4","2","5","2","4","0","6"
"NM_001191739","2","2","0","2","0","7","0","0","4"
"NM_001024755","448","575","484","449","401","813","302","276","404"
"NM_001009599","165","136","132","167","232","220","172","172","146"
"NM_001107742","879","1122","945","1511","1824","1274","684","384","399"
"NM_172074","318","407","370","494","794","667","554","490","522"
"NM_181380","282","536","410","204","158","162","64","44","38"
"NM_001106487","0","0","0","0","0","0","0","0","2"
"NM_001270621","0","0","0","0","0","0","0","0","0"
"NR_073054","10","11","7","21","16","19","6","9","13"
"NM_031121","1517","1683","1548","2237","2857","3292","1842","1740","1693"
"NM_031619","0","0","0","4","0","2","0","8","3"
"NM_031075","0","0","0","0","0","0","0","0","0"
"NM_031349","10","4","6","4","0","6","2","2","2"
"NM_001000688","0","0","0","0","0","0","0","0","0"
"NM_001000281","0","0","0","0","0","0","0","0","0"
"NM_001000282","0","0","0","0","0","0","0","0","0"
"NM_001000283","0","0","0","0","0","0","0","0","0"
"NM_001000284","0","0","0","0","0","0","0","0","0"
"NM_001000285","0","0","0","0","0","0","0","0","0"
"NM_001001123","0","0","0","0","0","0","0","0","0"
"NM_001001049","0","0","0","0","0","0","0","0","0"
"NM_001001050","0","0","0","0","0","0","0","0","0"
"NM_001000286","0","0","0","0","0","0","0","0","0"
"NM_001000287","0","0","0","0","0","0","0","0","0"
"NM_001000288","0","0","0","0","0","0","0","0","0"
"NM_001000289","0","0","0","0","0","0","0","0","0"
"NM_001000290","0","0","0","0","0","0","0","0","0"
"NM_001000291","0","0","0","0","0","0","0","0","0"
"NM_001000687","0","0","0","0","0","0","0","0","0"
"NM_001000292","0","0","0","0","0","0","0","0","0"
"NM_001000293","0","0","0","0","0","0","0","0","0"
"NM_001000294","0","0","0","0","0","0","0","0","0"
"NM_001000295","0","0","0","0","0","0","0","0","0"
"NM_001000934","0","0","0","0","0","0","0","0","0"
"NM_001000296","0","0","0","0","0","0","0","0","0"
"NM_001000297","0","0","0","0","0","0","0","0","0"
"NM_001000298","0","0","0","0","0","0","0","0","0"
"NM_001001124","0","0","0","0","0","0","0","0","0"
"NM_001000299","0","0","0","0","0","0","0","0","0"
"NM_001000300","0","0","0","0","0","0","0","0","0"
"NM_001001125","0","0","0","0","0","0","0","0","0"
"NM_001000301","0","0","0","0","0","0","0","0","0"
"NM_001000302","0","0","0","0","0","0","0","0","0"
"NM_001000686","0","0","0","0","0","0","0","0","0"
"NM_001000303","0","0","0","0","0","0","0","0","0"
"NM_001000304","0","0","0","0","0","0","0","0","0"
"NM_001000305","0","0","0","0","0","0","0","0","0"
"NM_001000685","0","0","0","0","0","0","0","0","0"
"NM_001000684","0","0","0","0","0","0","0","0","0"
"NM_001000561","0","0","0","0","0","0","0","0","0"
"NM_001000683","0","0","0","0","0","0","0","0","0"
"NM_001000306","0","0","0","0","0","0","0","0","0"
"NM_001000307","0","0","0","0","0","0","0","0","0"
"NM_001000682","0","0","0","0","0","0","0","0","0"
"NM_001000308","0","0","0","0","0","0","0","0","0"
"NM_001000933","0","0","0","0","0","0","0","0","0"
"NM_001000932","0","0","0","0","0","0","0","0","0"
"NM_001000309","0","0","0","0","0","0","0","0","0"
"NM_001000310","0","0","0","0","0","0","0","0","0"
"NM_001000681","0","0","0","0","0","0","0","0","0"
"NM_001000931","0","0","0","0","0","0","0","0","0"
"NM_001000680","0","0","0","0","0","0","0","0","0"
"NM_001000311","0","0","0","0","0","0","0","0","0"
"NM_001000679","0","0","0","0","0","0","0","0","0"
"NM_001000678","0","0","0","0","0","0","0","0","0"
"NM_001000677","0","0","0","0","0","0","0","0","0"
"NM_001000312","0","0","0","0","0","0","0","0","0"
"NM_001000313","0","0","0","0","0","0","0","0","0"
"NM_001000314","0","0","0","0","0","0","0","0","0"
"NM_001000315","0","0","0","0","0","0","0","0","0"
"NM_001000316","0","0","0","0","0","0","0","0","0"
"NM_001000317","0","0","0","0","0","0","0","0","0"
"NM_001000676","0","0","0","0","0","0","0","0","0"
"NM_001000318","0","0","0","0","0","0","0","0","0"
"NM_001000930","0","0","0","0","0","0","0","0","0"
"NM_001000562","0","0","0","0","0","0","0","0","0"
"NM_001001375","0","0","0","0","0","0","0","0","0"
"NM_001000675","0","0","0","0","0","0","0","0","0"
"NM_001000319","0","0","0","0","0","0","0","0","0"
"NM_001000674","0","0","0","0","0","0","0","0","0"
"NM_001001376","0","0","0","0","0","0","0","0","0"
"NM_001001051","0","0","0","0","0","0","0","0","0"
"NM_001000563","0","0","0","0","0","0","0","0","0"
"NM_001000673","0","0","0","0","0","0","0","0","0"
"NM_001000672","0","0","0","0","0","0","0","0","0"
"NM_001000564","0","0","0","0","0","0","0","0","0"
"NM_001000671","0","0","0","0","0","0","0","0","0"
"NM_001000320","0","0","0","0","0","0","0","0","0"
"NM_001000321","0","0","0","0","0","0","0","0","0"
"NM_001000565","0","0","0","0","0","0","0","0","0"
"NM_001000566","0","0","0","0","0","0","0","0","0"
"NM_001001052","0","0","0","0","0","0","0","0","0"
"NM_001001053","0","0","0","0","0","0","0","0","0"
"NM_001001054","0","0","0","0","0","0","0","0","0"
"NM_001000322","0","0","0","0","0","0","0","0","0"
"NM_001000670","0","0","0","0","0","0","0","0","0"
"NM_001001055","0","0","0","0","0","0","0","0","0"
"NM_001000323","0","0","0","0","0","0","0","0","0"
"NM_001001377","0","0","0","0","0","0","0","0","0"
"NM_001000929","0","0","0","0","0","0","0","0","0"
"NM_001000669","0","0","0","0","0","0","0","0","0"
"NM_001000324","0","0","0","0","0","0","0","0","0"
"NM_001000668","0","0","0","0","0","0","0","0","0"
"NM_001000325","0","0","0","0","0","0","0","0","0"
"NM_001000511","0","0","0","0","0","0","0","0","0"
"NM_001000667","0","0","0","0","0","0","0","0","0"
"NM_001000666","0","0","0","0","0","0","0","0","0"
"NM_001000665","0","0","0","0","0","0","0","0","0"
"NM_001109342","0","0","0","0","0","0","0","0","0"
"NM_001000326","0","0","0","0","0","0","0","0","0"
"NM_001000664","0","0","0","0","0","0","0","0","0"
"NM_001000327","0","0","0","0","0","0","0","0","0"
"NM_001000328","0","0","0","0","0","0","0","0","0"
"NM_001000567","0","0","0","0","0","0","0","0","0"
"NM_001000568","0","0","0","0","0","0","0","0","0"
"NM_001000663","0","0","0","0","0","0","0","0","0"
"NM_001000662","0","0","0","0","0","0","0","0","0"
"NM_001000928","0","0","0","0","0","0","0","0","0"
"NM_001000661","0","0","0","0","0","0","0","0","0"
"NM_001000660","0","0","0","0","0","0","0","0","0"
"NM_001000659","0","0","0","0","0","0","0","0","0"
"NM_001000329","0","0","0","0","0","0","0","0","0"
"NM_001000658","0","0","0","0","0","0","0","0","0"
"NM_001000330","0","0","0","0","0","0","0","0","0"
"NM_001000657","0","0","0","0","0","0","0","0","0"
"NM_001006596","0","0","0","0","0","0","0","0","0"
"NM_001001056","0","0","0","0","0","0","0","0","0"
"NM_001000331","0","0","0","0","0","0","0","0","0"
"NM_001000332","0","0","0","0","0","0","0","0","0"
"NM_001000512","0","0","0","0","0","0","0","0","0"
"NM_001000333","0","0","0","0","0","0","0","0","0"
"NM_001000656","0","0","0","0","0","0","0","0","0"
"NM_001000927","0","0","0","0","0","0","0","0","0"
"NM_001000334","0","0","0","0","0","0","0","0","0"
"NM_001000655","0","0","0","0","0","0","0","0","0"
"NM_001000335","0","0","0","0","0","0","0","0","0"
"NM_001000336","0","0","0","0","0","0","0","0","0"
"NM_001000926","0","0","0","0","0","0","0","0","0"
"NM_001000654","0","0","0","0","0","0","0","0","0"
"NM_001000337","0","0","0","0","0","0","0","0","0"
"NM_001302944","88","92","108","34","64","76","80","70","70"
"NM_001000652","0","0","0","0","0","0","0","0","0"
"NM_001000651","0","0","0","0","0","0","0","0","0"
"NM_001000650","0","0","0","0","0","0","0","0","0"
"NM_001000649","0","0","0","0","0","0","0","0","0"
"NM_001001058","0","0","0","0","0","0","0","0","0"
"NM_001001059","0","0","0","0","0","0","0","0","0"
"NM_001000339","0","0","0","0","0","0","0","0","0"
"NM_001000648","0","0","0","0","0","0","0","0","0"
"NM_001000647","0","0","0","0","0","0","0","0","0"
"NM_001000646","0","0","0","0","0","0","0","0","0"
"NM_001001126","0","0","0","0","0","0","0","0","0"
"NM_001000645","0","0","0","0","0","0","0","0","0"
"NM_001000340","0","0","0","0","0","0","0","0","0"
"NM_001000644","0","0","0","0","0","0","0","0","0"
"NM_001000643","0","0","0","0","0","0","0","0","0"
"NM_001000642","0","0","0","0","0","0","0","0","0"
"NM_001000641","0","0","0","0","0","0","0","0","0"
"NM_001000640","0","0","0","0","0","0","0","0","0"
"NM_001000639","0","0","0","0","0","0","0","0","0"
"NM_001000341","0","0","0","0","0","0","0","0","0"
"NM_001000638","0","0","0","0","0","0","0","0","0"
"NM_001000637","0","0","0","0","0","0","0","0","0"
"NM_001000636","0","0","0","0","0","0","0","0","0"
"NM_001000342","0","0","0","0","0","0","0","0","0"
"NM_001000343","0","0","0","0","0","0","0","0","0"
"NM_001000344","0","0","0","0","0","0","0","0","0"
"NM_001000345","0","0","0","0","0","0","0","0","0"
"NM_001000635","0","0","0","0","0","0","0","0","0"
"NM_001000925","0","0","0","0","0","0","0","0","0"
"NM_001001060","0","0","0","0","0","0","0","0","0"
"NM_001000346","0","0","0","0","0","0","0","0","0"
"NM_001000347","0","0","0","0","0","0","0","0","0"
"NM_001000924","0","0","0","0","0","0","0","0","0"
"NM_001000634","0","0","0","0","0","0","0","0","0"
"NM_001000349","0","0","0","0","0","0","0","0","0"
"NM_001000633","0","0","0","0","0","0","0","0","0"
"NM_001001061","0","0","0","0","0","0","0","0","0"
"NM_001000350","0","0","0","0","0","0","0","0","0"
"NM_001000348","0","0","0","0","0","0","0","0","0"
"NM_001000351","0","0","0","0","0","0","0","0","0"
"NM_001000352","0","0","0","0","0","0","0","0","0"
"NM_001000632","0","0","0","0","0","0","0","0","0"
"NM_001001062","0","0","0","0","0","0","0","0","0"
"NM_001000353","0","0","0","0","0","0","0","0","0"
"NM_001000354","0","0","0","0","0","0","0","0","0"
"NM_001000631","0","0","0","0","0","0","0","0","0"
"NM_001001378","0","0","0","0","0","0","0","0","0"
"NM_001000355","0","0","0","0","0","0","0","0","0"
"NM_001000356","0","0","0","0","0","0","0","0","0"
"NM_001000997","0","0","0","0","0","0","0","0","0"
"NM_001000569","0","0","0","0","0","0","0","0","0"
"NM_001000630","0","0","0","0","0","0","0","0","0"
"NM_001000629","0","0","0","0","0","0","0","0","0"
"NM_001000357","0","0","0","0","0","0","0","0","0"
"NM_001000628","0","0","0","0","0","0","0","0","0"
"NM_001001063","0","0","0","0","0","0","0","0","0"
"NM_001001064","0","0","0","0","0","0","0","0","0"
"NM_001000513","0","0","0","0","0","0","0","0","0"
"NM_001000627","0","0","0","0","0","0","0","0","0"
"NM_001000359","0","0","0","0","0","0","0","0","0"
"NM_001000626","0","0","0","0","0","0","0","0","0"
"NM_001000570","0","0","0","0","0","0","0","0","0"
"NM_001001065","0","0","0","0","0","0","0","0","0"
"NM_001001066","0","0","0","0","0","0","0","0","0"
"NM_001000571","0","0","0","0","0","0","0","0","0"
"NM_001000625","0","0","0","0","0","0","0","0","0"
"NM_001000624","0","0","0","0","0","0","0","0","0"
"NM_001000360","0","0","0","0","0","0","0","0","0"
"NM_001000923","0","0","0","0","0","0","0","0","0"
"NM_001000623","0","0","0","0","0","0","0","0","0"
"NM_001000622","0","0","0","0","0","0","0","0","0"
"NM_001000621","0","0","0","0","0","0","0","0","0"
"NM_001000361","0","0","0","0","0","0","0","0","0"
"NM_001001067","0","0","0","0","0","0","0","0","0"
"NM_001000362","0","0","0","0","0","0","0","0","0"
"NM_001000572","0","0","0","0","0","0","0","0","0"
"NM_001000363","0","0","0","0","0","0","0","0","0"
"NM_001000573","0","0","0","0","0","0","0","0","0"
"NM_001000514","0","0","0","0","0","0","0","0","0"
"NM_001000620","0","0","0","0","0","0","0","0","0"
"NM_001000619","0","0","0","0","0","0","0","0","0"
"NM_001000574","0","0","0","0","0","0","0","0","0"
"NM_001000617","0","0","0","0","0","0","0","0","0"
"NM_001000364","0","0","0","0","0","0","0","0","0"
"NM_001000618","0","0","0","0","0","0","0","0","0"
"NM_001000922","0","0","0","0","0","0","0","0","0"
"NM_001000616","0","0","0","0","0","0","0","0","0"
"NM_001000576","0","0","0","0","0","0","0","0","0"
"NM_001000575","0","0","0","0","0","0","0","0","0"
"NM_001000577","0","0","0","0","0","0","0","0","0"
"NM_001000578","0","0","0","0","0","0","0","0","0"
"NM_001107744","324","335","292","448","450","540","445","469","380"
"NM_001106488","0","0","0","0","0","0","0","0","0"
"NM_001013159","962","954","916","797","1268","1227","1035","997","983"
"NM_001317330","0","0","0","0","0","0","0","0","0"
"NM_001107745","0","4","1","2","0","0","0","2","0"
"NM_001106489","1527","1872","1553","1793","1984","1864","2131","2251","1911"
"NM_001105726","568","576","521","1075","1120","1123","784","732","758"
"NM_001107746","172","247","176","151","209","187","198","183","185"
"NM_031595","2705","2820","2681","3829","4478","4067","3052","3111","2850"
"NM_001108584","0","2","7","4","18","19","4","4","7"
"NM_001039196","217","199","212","224","417","446","244","234","221"
"NM_001005892","226","200","232","164","154","274","102","93","99"
"NM_001106490","0","0","2","2","4","2","0","0","0"
"NM_001271346","212","308","273","184","138","136","274","333","236"
"NM_016988","0","0","0","0","0","0","0","0","0"
"NM_031627","3454","4125","3960","3225","2972","2845","4138","3680","3429"
"NM_053585","417","333","378","273","277","541","334","282","267"
"NM_001009966","1116","1294","1079","1319","1502","1500","1189","1163","1024"
"NM_001357071","0","0","0","0","0","0","0","0","0"
"NM_031322","660","1082","847","773","923","908","501","451","458"
"NM_022924","64011","64767","54703","39054","31430","28412","53669","56825","49951"
"NM_001113793","143","126","124","95","178","127","214","156","203"
"NM_001107747","827","795","778","949","1084","1173","711","876","723"
"NM_001271212","2003","1984","1928","2111","3203","2717","1728","1765","1826"
"NM_031547","0","0","1","0","0","0","0","2","0"
"NM_031143","2135","3515","2832","2688","2381","2769","2296","2411","1964"
"NM_030859","27","29","22","11","14","5","26","19","20"
"NM_001005562","224","244","237","370","267","430","162","148","121"
"NM_199107","125","172","156","191","230","314","170","112","127"
"NM_053777","280","292","278","335","235","355","472","427","353"
"NM_001109201","0","0","3","1","1","2","2","6","5"
"NM_001012088","1051","1455","1206","1336","1719","1226","1871","1789","1711"
"NM_001107748","605","699","614","692","956","1085","460","538","405"
"NM_001011955","14","20","20","14","14","12","18","15","16"
"NM_001271530","27","29","22","18","38","20","41","37","24"
"NM_001106553","0","0","0","0","2","1","0","0","0"
"NM_001110055","100","94","114","96","70","158","58","22","32"
"NM_001267534","242","351","295","324","352","394","252","288","251"
"NM_001109594","0","2","0","0","0","4","0","0","0"
"NM_001014180","612","651","569","806","1287","950","702","732","712"
"NR_031792","0","0","0","0","0","0","0","0","0"
"NM_001127379","3483","3489","3397","4431","5772","5375","2806","3241","2887"
"NM_001047953","0","0","0","0","0","0","0","0","0"
"NM_053468","0","2","4","6","6","0","0","0","2"
"NM_001107754","266","248","241","230","278","267","211","243","207"
"NM_001033692","518","592","584","785","955","994","629","648","653"
"NM_001108955","2","8","4","9","13","33","4","8","0"
"NM_001044242","466","552","468","489","620","639","601","601","586"
"NM_001106492","128","124","126","264","269","335","264","280","271"
"NM_001106493","20","34","12","32","14","48","26","20","21"
"NM_012520","89223","115733","103805","88299","62653","62580","138651","162250","109245"
"NM_001108956","2","0","0","0","16","2","19","0","8"
"NM_001012185","1944","2182","1867","2475","3581","3534","4088","3974","3953"
"NM_001107756","267","287","283","487","837","837","554","425","525"
"NM_012925","1903","2285","2107","1674","1184","1628","2151","2151","1565"
"NM_001108585","4","4","5","1","2","2","3","0","4"
"NM_001244781","0","0","0","0","0","0","0","0","0"
"NM_001244780","0","0","0","0","0","0","0","0","0"
"NM_001244779","0","0","0","0","0","0","0","0","0"
"NM_001037358","1","3","4","0","1","0","1","2","3"
"NM_001109606","2739","3730","2882","5625","4151","3682","5301","5095","4767"
"NM_001077672","152","149","110","219","432","509","215","200","171"
"NM_001109202","588","634","491","541","718","617","274","276","342"
"NM_001139493","295","269","176","420","742","619","239","239","215"
"NM_001029916","3219","3571","3109","3676","2998","2768","1992","2069","1841"
"NM_001168523","1375","1145","1092","2638","4321","4354","1959","1897","2026"
"NM_013001","2","0","0","0","0","0","0","0","0"
"NM_001191853","104","107","99","92","86","99","92","80","71"
"NM_001014045","269","239","267","329","421","401","360","341","322"
"NM_001007597","0","0","0","0","0","0","0","0","0"
"NM_012971","0","0","0","0","0","0","0","0","0"
"NM_001137642","22","19","21","28","26","78","45","28","24"
"NM_021851","153","230","186","185","353","251","248","245","246"
"NM_001108587","39","42","22","61","112","92","86","64","44"
"NM_022629","3084","3985","3651","2156","1563","1439","1923","1990","1777"
"NM_001025042","22","34","8","42","38","72","2","8","4"
"NM_001044301","0","0","0","0","0","0","0","0","0"
"NM_001001068","0","0","0","0","0","0","0","0","0"
"NM_001000365","0","0","0","0","0","0","0","0","0"
"NM_001000615","0","0","0","0","0","0","0","0","0"
"NM_001000366","0","0","0","0","0","0","0","0","0"
"NM_001000367","0","0","0","0","0","0","0","0","0"
"NM_001000921","0","0","0","0","0","0","0","0","0"
"NM_001000368","0","0","0","0","0","0","0","0","0"
"NM_001000614","0","0","0","0","0","0","0","0","0"
"NM_001000613","0","0","0","0","0","0","0","0","0"
"NM_001000369","0","0","0","0","0","0","0","0","0"
"NM_001001069","0","0","0","0","0","0","0","0","0"
"NM_001000996","0","0","0","0","0","0","0","0","0"
"NM_001000611","0","0","0","0","0","0","0","0","0"
"NM_001000919","0","0","0","0","0","0","0","0","0"
"NM_001000371","0","0","0","0","0","0","0","0","0"
"NM_001000372","0","0","0","0","0","0","0","0","0"
"NM_001000610","0","0","0","0","0","0","0","0","0"
"NM_001000609","0","0","0","0","0","0","0","0","0"
"NM_001000373","0","0","0","0","0","0","0","0","0"
"NM_001000918","0","0","0","0","0","0","0","0","0"
"NM_001000374","0","0","0","0","0","0","0","0","0"
"NM_001000608","0","0","0","0","0","0","0","0","0"
"NM_001000579","0","0","0","0","0","0","0","0","0"
"NM_001000607","0","0","0","0","0","0","0","0","0"
"NM_001000917","0","0","0","0","0","0","0","0","0"
"NM_001000606","0","0","0","0","0","0","0","0","0"
"NM_001000375","0","0","0","0","0","0","0","0","0"
"NM_001000605","0","0","0","0","0","0","0","0","0"
"NM_001000376","0","0","0","0","0","0","0","0","0"
"NM_001000604","0","0","0","0","0","0","0","0","0"
"NM_001000603","0","0","0","0","0","0","0","0","0"
"NM_001000916","0","0","0","0","0","0","0","0","0"
"NM_001000602","0","0","0","0","0","0","0","0","0"
"NM_001000377","0","0","0","0","0","0","0","0","0"
"NM_001000915","0","0","0","0","0","0","0","0","0"
"NM_001000580","0","0","0","0","0","0","0","0","0"
"NM_001000378","0","0","0","0","0","0","0","0","0"
"NM_001000601","0","0","0","0","0","0","0","0","0"
"NM_001000600","0","0","0","0","0","0","0","0","0"
"NM_001106494","47","24","49","19","17","36","10","10","16"
"NM_001108957","2","0","0","0","0","0","0","0","0"
"NM_001126100","560","705","644","666","1019","912","587","621","494"
"NM_001106495","754","821","699","889","1034","1055","944","925","924"
"NM_001109645","147","107","120","178","218","230","174","198","123"
"NM_017362","0","0","0","0","0","0","0","0","0"
"NM_001106496","1614","1756","1558","2048","2375","2403","1818","1711","1545"
"NM_019282","14","12","16","2","12","6","6","4","4"
"NM_001135238","34","66","64","44","30","68","34","34","38"
"NM_013175","0","2","0","2","2","6","2","0","0"
"NM_001168524","80","116","86","185","174","463","205","117","100"
"NM_019281","0","0","0","0","2","0","0","0","0"
"NM_019183","0","0","0","0","0","0","0","0","0"
"NR_032290","0","0","0","0","0","0","0","0","0"
"NM_001047089","173","160","148","146","144","147","136","116","96"
"NM_001013078","2","2","8","33","49","65","14","10","8"
"NM_139258","1278","1376","1450","223","116","194","403","332","273"
"NM_001106497","873","899","894","1338","1380","1500","1036","1002","861"
"NM_138540","22","34","15","56","46","171","59","66","15"
"NM_001106498","4","8","4","0","2","2","6","2","6"
"NM_053478","122","126","151","92","82","149","65","58","84"
"NM_001305384","0","0","0","0","0","0","0","0","0"
"NM_001107759","1","4","2","0","2","2","4","2","0"
"NM_001004264","8","48","12","33","32","87","69","51","28"
"NM_001109639","58","40","42","76","64","60","44","28","18"
"NM_001024245","204","324","248","261","417","314","168","208","182"
"NM_001170594","40","66","20","66","87","213","70","44","80"
"NM_001135845","149","126","143","223","238","278","223","201","189"
"NM_172011","2","3","2","1","4","12","4","14","5"
"NM_133595","1342","1740","1552","965","671","634","669","618","480"
"NM_001014046","1110","1111","1108","1297","1655","1620","1386","1309","1301"
"NM_001191740","106","132","94","110","207","200","151","111","94"
"NM_001034948","146","241","193","277","271","525","233","246","163"
"NM_001004265","31","13","26","19","29","55","22","8","14"
"NM_001107760","180","218","219","292","387","385","276","270","228"
"NM_001106499","329","282","309","346","551","625","458","390","334"
"NM_001173437","10","34","26","168","271","230","12","72","18"
"NM_138542","6","0","12","10","5","16","6","4","8"
"NR_130141","2820","2862","2767","2277","2443","2115","2036","2502","2459"
"NM_001107761","0","0","0","2","2","4","2","0","2"
"NM_001107762","23","84","20","95","51","232","131","82","51"
"NM_001346423","5","15","6","22","20","64","34","26","4"
"NM_024139","1481","1437","1291","1079","1680","2061","1736","2000","1659"
"NM_031045","86","95","86","62","49","93","58","59","42"
"NM_001106500","426","430","402","427","515","497","426","554","474"
"NM_001107763","0","2","6","0","12","14","8","8","0"
"NM_001108958","913","1058","883","797","800","1030","766","769","750"
"NM_017092","257","308","206","237","192","319","392","384","301"
