"gene_id","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047","SRR1177963","SRR1177964","SRR1177965"
"NM_021666","0","0","0","0","0","0","0","0","0"
"NM_001044295","19","7","15","14","7","10","13","9","13"
"NM_198051","123","128","136","215","236","275","163","177","184"
"NM_001100990","114","72","91","66","57","60","37","29","31"
"NM_001024285","40","20","10","4","0","2","2","0","2"
"NM_130428","7885","9951","9381","6996","6129","6349","7644","8270","7366"
"NM_001107454","54","54","37","53","65","63","35","34","22"
"NM_001107453","358","491","383","468","591","627","432","439","350"
"NM_012694","1","1","3","3","4","6","0","2","0"
"NM_133425","6","8","2","10","6","2","34","74","26"
"NM_057103","4","3","2","0","2","0","0","0","0"
"NM_001040128","1044","1097","1001","1090","1079","1172","1093","1103","1195"
"NM_001108462","10","10","16","136","238","501","27","24","44"
"NM_001107459","2","0","0","0","0","2","2","0","0"
"NM_139094","1016","1096","923","848","1266","1260","1339","1115","1111"
"NM_001012061","363","294","289","301","389","464","383","288","351"
"NM_181474","186","231","161","395","408","508","313","330","299"
"NM_001004216","0","0","0","0","0","0","0","0","0"
"NM_001039343","48","46","42","48","34","40","28","32","12"
"NM_001127560","5","8","9","2","0","1","2","3","2"
"NM_001038615","27","56","36","57","30","91","37","44","29"
"NM_019230","0","6","2","8","0","2","22","6","7"
"NM_012756","1855","2025","1805","3380","4376","4522","2355","2236","2275"
"NM_001115021","410","492","479","575","565","554","475","524","468"
"NM_001077677","6","2","0","0","4","2","2","0","0"
"NM_022236","0","5","4","7","2","8","1","2","0"
"NM_001008302","394","460","387","574","533","618","435","417","343"
"NM_057128","54","90","44","68","41","76","15","28","30"
"NM_013217","1692","1978","1609","2103","2196","2843","1699","1647","1674"
"NM_001107464","48","30","19","242","484","367","660","460","381"
"NM_001106215","134","126","152","115","78","102","104","62","74"
"NM_001169138","243","186","222","130","81","178","112","106","78"
"NM_001004198","163","149","170","197","231","273","164","184","158"
"NM_133574","0","0","0","0","0","0","0","0","0"
"NM_001106214","0","0","0","1","4","5","2","2","4"
"NM_001113403","360","442","534","297","387","351","306","314","277"
"NM_001135720","18","28","28","12","28","40","9","7","20"
"NM_001169140","0","0","0","0","0","0","0","0","0"
"NM_001099469","0","0","0","0","0","0","0","0","0"
"NM_057140","3243","3439","3097","4205","4639","4882","2821","3001","2689"
"NM_001107467","72","111","100","76","120","132","111","109","150"
"NM_001099488","0","0","0","0","0","0","0","0","0"
"NM_001099489","0","0","0","0","0","0","0","0","0"
"NM_173318","0","0","0","0","0","0","0","0","0"
"NM_001099656","0","0","0","0","0","0","0","0","0"
"NM_001313942","8","5","2","7","9","10","5","5","7"
"NM_001006968","7","12","5","3","6","15","5","5","13"
"NM_001106220","0","0","0","0","0","0","0","0","0"
"NM_001107473","4","2","2","2","2","0","0","2","2"
"NM_001108465","61","86","116","124","103","153","63","55","40"
"NM_001134545","22","22","21","12","15","21","19","2","13"
"NM_001271115","2","2","6","0","0","6","2","2","0"
"NM_139261","396","436","403","722","964","1083","404","403","358"
"NM_181479","2","2","2","0","4","0","0","4","2"
"NM_001099496","0","0","0","0","0","0","0","0","0"
"NM_001106225","4","4","6","3","6","8","10","1","2"
"NM_001029928","4","2","3","1","0","4","2","0","2"
"NM_173315","0","0","0","0","0","0","0","0","0"
"NM_001025002","22","52","32","6","359","169","52","9","91"
"NM_001108470","46","53","44","27","20","55","16","23","24"
"NM_001024775","1446","1566","1609","1388","1409","1438","1405","1511","1305"
"NM_001025131","2","3","9","37","389","331","22","8","0"
"NM_012695","891","1251","1393","2183","5534","4273","1378","1446","836"
"NM_207591","1121","1242","1163","1787","2233","2295","1237","1259","1230"
"NM_001271132","3032","3662","2988","2948","2725","3698","2347","2407","2122"
"NM_022952","1014","1200","969","1158","1224","1355","979","946","821"
"NM_001100830","1151","1285","1189","1482","1484","2038","1096","1269","1081"
"NM_001106229","108","132","120","129","103","118","94","144","102"
"NM_001012064","2737","2770","1749","1065","920","1230","1875","1725","1410"
"NM_001169579","2","8","16","5","43","65","29","9","30"
